GyroscopeStat_x_MEAN,GyroscopeStat_z_MEAN,GyroscopeStat_COV_z_x,GyroscopeStat_COV_z_y,MagneticField_x_MEAN,MagneticField_z_MEAN,MagneticField_COV_z_x,MagneticField_COV_z_y,Pressure_MEAN,LinearAcceleration_COV_z_x,LinearAcceleration_COV_z_y,LinearAcceleration_x_MEAN,LinearAcceleration_z_MEAN,attack
2.926755615167176416e-01,5.423712464568042346e-01,4.763200708824946172e-01,5.775475085650865203e-01,7.293839005529691999e-01,3.528584564150221148e-01,4.986988069466123941e-01,6.720360197850286932e-01,5.146587329967435703e-02,8.806604762713043932e-01,4.919126826112242834e-01,6.289240387566240598e-01,4.740212071778140968e-01,0.000000000000000000e+00
2.926790411189426067e-01,5.428562327340380467e-01,4.771654742124206150e-01,5.775472687476964628e-01,7.293840255494982161e-01,3.501766934002200626e-01,9.978950093563622170e-01,6.718211926860582217e-01,5.144511068512538920e-02,8.136987166607861921e-01,4.175049039747718571e-01,5.584521017903867346e-01,1.713703099510603400e-01,0.000000000000000000e+00
2.926789119605801015e-01,5.430053222563216986e-01,4.767329780426166064e-01,5.775477308100346319e-01,7.293841010114862078e-01,3.552732823827445818e-01,5.003478874142333055e-01,6.762894008054191053e-01,5.321401217417429802e-02,8.448271173117331001e-01,4.115319595107749251e-01,6.167303609268319775e-01,4.391517128874388165e-01,0.000000000000000000e+00
2.926790560651654771e-01,5.436586064950337249e-01,4.775950889054594861e-01,5.775472435268417248e-01,7.293839641201010915e-01,3.532974425925604067e-01,4.994818090977155012e-01,6.742167215604800701e-01,5.262114939283676907e-02,8.774925809614225747e-01,4.105229930811533090e-01,5.951102521092329622e-01,5.195350734094615897e-01,0.000000000000000000e+00
2.926791075782682050e-01,5.433513840889016011e-01,4.776938328473800954e-01,5.775473603977082648e-01,7.293843340086915150e-01,3.548515161048214073e-01,4.993810385751393244e-01,6.752194622286101788e-01,5.213526330651500895e-02,8.459120591890660901e-01,3.650533370396212285e-01,5.636203452867984964e-01,5.574632952691680465e-01,0.000000000000000000e+00
2.924475150820249336e-01,5.457262932519911791e-01,4.780665745451532223e-01,5.775444242726793798e-01,7.293854364475315100e-01,3.513464873471588978e-01,4.967415349390749135e-01,6.717696965311833468e-01,5.139406125296683975e-02,9.190083208604925558e-01,4.650014192982734884e-01,6.127140669419315344e-01,9.993474714518759683e-01,0.000000000000000000e+00
2.926789119370757919e-01,5.428084678868934088e-01,4.770536948988537973e-01,5.775425992709215528e-01,7.293786861974043134e-01,3.521989059597544491e-01,9.980529014839175650e-01,6.718357423588352528e-01,5.144744191806451677e-02,7.960522159526235431e-01,1.265537586652442092e-01,5.413903916311557651e-01,1.669657422512234868e-01,0.000000000000000000e+00
2.926789401208072516e-01,5.436066656379283657e-01,4.770771593914072128e-01,5.775463493760079059e-01,7.293848972111132145e-01,3.561071576728944144e-01,4.997208396120769169e-01,6.732121351784872143e-01,5.256878434767084385e-02,9.248023739873632021e-01,4.364982439940278680e-01,5.862297661019740813e-01,2.815660685154975362e-01,0.000000000000000000e+00
2.926759549347677236e-01,5.431854691483757325e-01,4.774575849545689143e-01,5.775473892181995916e-01,7.293841659956632473e-01,3.561258650203848464e-01,4.999011277448149881e-01,6.731112633622284847e-01,5.260088575263406618e-02,9.506372064089070317e-01,4.322888849701003733e-01,5.838629094718504886e-01,2.907422512234910106e-01,0.000000000000000000e+00
2.926751043033960498e-01,5.433638055302332237e-01,4.779258140869120930e-01,5.775468478466224687e-01,7.293842013207881836e-01,3.560830296762025338e-01,4.979979339590852039e-01,6.769454038629096893e-01,5.373178139714398366e-02,8.882249136550364188e-01,3.764347239973201975e-01,7.442895576050841955e-01,7.544453507340945775e-01,0.000000000000000000e+00
2.930098211567556121e-01,5.421290296202856407e-01,4.753951762870227138e-01,5.730893894596672533e-01,7.280064577088890543e-01,3.445281082150797314e-01,5.001901439422354878e-01,6.747217430021232865e-01,5.222415726328133445e-02,8.314028894626573907e-01,4.418726084879369687e-01,7.608429109352402575e-01,7.136215334420881184e-01,0.000000000000000000e+00
2.926779080546200729e-01,5.434375058108089629e-01,4.778936267207165023e-01,5.775447257436524540e-01,7.293818986931112081e-01,3.551178899556106106e-01,4.983997139661254239e-01,6.718780903914592928e-01,5.147168857485518584e-02,8.468985834030702264e-01,3.750537077004659214e-01,5.910382217206500144e-01,9.461256117455137948e-01,0.000000000000000000e+00
2.926755886737372192e-01,5.432723741856692046e-01,4.780803869686278129e-01,5.775475940063401481e-01,7.293841917041139489e-01,3.553343019593874774e-01,4.993700703244822181e-01,6.743910845239711183e-01,5.154022840661049570e-02,9.067144515814398176e-01,3.734541493322988126e-01,5.418643741466589586e-02,6.362561174551386589e-01,0.000000000000000000e+00
2.926790343863736599e-01,5.432937448143162484e-01,4.771629734961063130e-01,5.775470294473179500e-01,7.293842734023121555e-01,3.552872623698282162e-01,4.985424056589733977e-01,6.735985176235909089e-01,5.177050821872193620e-02,9.081225570275965886e-01,4.011377756658822680e-01,5.918221180357007283e-01,8.820962479608484008e-01,0.000000000000000000e+00
2.926790921403302770e-01,5.426303399789563775e-01,4.766041595339577941e-01,5.775478505860567324e-01,7.293840863750425951e-01,3.722589271942033928e-01,2.320324883636759865e-04,6.717673645864142840e-01,5.138090723361601192e-02,8.795289104510514155e-01,4.785828769591456977e-01,6.011042736780876083e-01,7.748776508972267385e-02,0.000000000000000000e+00
2.926829532097997566e-01,5.430895797390317137e-01,4.777603402862721227e-01,5.775332337381184900e-01,7.293796228749962474e-01,3.553539479419440261e-01,5.001278079191612269e-01,6.722424308347929589e-01,5.147970581730632739e-02,8.817866988955556096e-01,4.661256864101447905e-01,6.015704533415283661e-01,2.718597063621532861e-01,0.000000000000000000e+00
2.926757316516963026e-01,5.433982054215987789e-01,4.778394065297523197e-01,5.775473291013161203e-01,7.293837099486144560e-01,3.546631870021321742e-01,4.984969215864988867e-01,6.763256378537948477e-01,5.145772922920981152e-02,8.619758866494051652e-01,3.600153793930077062e-01,6.099340462403315399e-01,9.338499184339316139e-01,0.000000000000000000e+00
2.926790919895396192e-01,5.426185191444036215e-01,4.770072491070345144e-01,5.775476354805545443e-01,7.293842439283602097e-01,3.385625648929412868e-01,9.980811100933969504e-01,6.717645200597202049e-01,5.138337390514624570e-02,8.596919304155481445e-01,3.969733616810296462e-01,5.899074815018678919e-01,1.366231647634583990e-01,0.000000000000000000e+00
2.926790838064679545e-01,5.436644034636315403e-01,4.775858723779575210e-01,5.775475721909028026e-01,7.293842492256288335e-01,3.641356940420295563e-01,4.994164970127024095e-01,6.737037533005773016e-01,5.209778001309005313e-02,8.591932354110884962e-01,4.739691222896801892e-01,5.038329575214460510e-02,6.106851549755302200e-01,0.000000000000000000e+00
